"id","score"
"943231097193852928","35"
"145643610","35"
"4367813116","35"
"1163825097351864321","35"
"83844260","35"
"171117515","35"
"233343317","35"
"215394809","35"
"121640063","34"
"30354991","34"
"56411751","34"
"3025674465","34"
"37854134","34"
"34082620","34"
"73204975","34"
"186801139","34"
"1183923562735902722","34"
"701875830578921473","34"
"3120745861","34"
"70174349","34"
"525264466","34"
"467075090","34"
"2987671552","34"
"4598260169","34"
"25858078","34"
"967255660755693568","34"
"990317363915579392","34"
"34180269","34"
"1289186688","34"
"725196602734845952","34"
"1452520626","34"
"112047805","34"
"35012355","33"
"130929368","33"
"44527648","33"
"19325609","33"
"1088963807463047168","33"
"198357693","33"
"29231654","33"
"926620369","33"
"409713189","33"
"57251032","33"
"325716763","33"
"732980827","33"
"17060573","33"
"16906785","33"
"471287735","33"
"985595127866515456","33"
"1332121","33"
"361362115","33"
"911290549541289986","33"
"1442564461","32"
"180850574","32"
"4844061977","32"
"1039502330733969408","32"
"125103240","32"
"941109866202091521","32"
"278145569","32"
"143006466","32"
"589492623","32"
"243399714","32"
"3095001124","32"
"197176970","32"
"17446621","32"
"73100160","32"
"1376874738","32"
"14629315","32"
"15828408","32"
"1053127695851237376","32"
"1160882376563724288","32"
"2708915372","31"
"1217715067","31"
"3030340252","31"
"50446226","31"
"772964807800532992","31"
"1099762340","31"
"1080924673758527489","31"
"1108050829393707008","31"
"543794957","31"
"355926337","31"
"109579534","31"
"784888822748164096","31"
"1680559656","31"
"883881197054689280","31"
"17685258","31"
"41160276","31"
"38523627","31"
"13850422","31"
"46787146","31"
"47285504","31"
"491710556","30"
"1523773080","30"
"352881953","30"
"232901331","30"
"576233224","30"
"3292307982","30"
"251232208","30"
"2163885564","30"
"1629143468","30"
"7270292","30"
"57172608","30"
"34116377","30"
"1036325418","30"
"363811679","30"
"19426551","30"
"56136871","30"
"3579012568","30"
"4035503243","30"
"17752026","30"
"317385247","30"
"195889647","30"
"23083404","30"
"1170595963637047296","30"
"818910970567344128","30"
"992134120938639363","30"
"13393052","30"
"56766146","30"
"3311716376","30"
"3150201569","30"
"25084916","30"
"486191342","30"
"561955921","30"
"181561712","30"
"1386366252","30"
"44945327","29"
"1166098663","29"
"30010698","29"
"1049455355368038405","29"
"996822612587307008","29"
"485182129","29"
"2431963195","29"
"27995424","29"
"764962305578786816","29"
"1976143068","29"
"172813441","29"
"1390619719","29"
"353437747","29"
"4870937610","29"
"144113649","29"
"1185972348027097088","29"
"1068638846122893313","29"
"44054652","29"
"828830090","29"
"370281589","29"
"2349454014","29"
"23603092","29"
"21829541","29"
"3898598357","29"
"461922813","29"
"227523320","29"
"1146316060465029121","29"
"1130275662","29"
"23022687","29"
"233183631","29"
"21955058","28"
"14216661","28"
"2750877815","28"
"210238655","28"
"4755944563","28"
"29061673","28"
"544862804","28"
"1319581862","28"
"1155424854","28"
"1170283739404001280","28"
"14515799","28"
"769154255865327616","28"
"21789463","28"
"1232592044","28"
"17022916","28"
"1110259469697667080","28"
"1155167918293995521","28"
"14296157","28"
"2987922767","28"
"1039687717523808261","28"
"1102188191107280897","28"
"867929010877190144","28"
"829715365223682048","28"
"1021842937812987904","28"
"2415730399","28"
"1191074530925543424","28"
"28785486","28"
"19799211","28"
"485586578","28"
"178690996","28"
"211918431","28"
"264050862","28"
"57852539","28"
"1091216816","28"
"1129762164","28"
"10429092","28"
"1130384443749818368","28"
"1093877621182685184","28"
"1185778806763581443","27"
"1125539812625330177","27"
"196168350","27"
"2767301","27"
"790874672485244928","27"
"840080325011152897","27"
"572133871","27"
"4808402532","27"
"1186339136363347968","27"
"441435243","27"
"382716044","27"
"1131635486563471360","27"
"2777027912","27"
"277760383","27"
"246939630","27"
"14689728","27"
"350862112","27"
"456201120","27"
"62770238","27"
"2750127259","27"
"123955962","27"
"1022442133","27"
"743662396892282881","27"
